State,District,Type_of_Crime,Crime,Count
Karnataka,BIDAR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,128
Karnataka,BIDAR,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,110
Karnataka,BIDAR,Violent Crime,Murder,66
Karnataka,BIDAR,Trust/Deception Crime,Counterfieting,61
Karnataka,BIDAR,Property Crime,Robbery,44
Karnataka,BIDAR,Kidnapping/Abduction,Kidnapping_And_Abduction,43
Karnataka,BIDAR,Sexual Crime,Rape,16
Karnataka,BIDAR,Other,Importation_Of_Girls_From_Foreign_Countries,2
Karnataka,BIDAR,Sexual Crime,Custodial_Rape,0
Karnataka,K.G.F.,Property Crime,Theft,8099
Karnataka,K.G.F.,Property Crime,Auto_Theft,4499
Karnataka,K.G.F.,Property Crime,Other_Theft,3600
Karnataka,K.G.F.,Violent Crime,Hurt/Grevious_Hurt,3431
Karnataka,K.G.F.,Negligence,Causing_Death_By_Negligence,2126
Karnataka,K.G.F.,Trust/Deception Crime,Cheating,1769
Karnataka,K.G.F.,Property Crime,Burglary,1640
Karnataka,K.G.F.,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1427
Karnataka,K.G.F.,Violent Crime,Riots,944
Karnataka,K.G.F.,Violent Crime,Attempt_To_Murder,870
Karnataka,K.G.F.,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,848
Karnataka,K.G.F.,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,647
Karnataka,K.G.F.,Trust/Deception Crime,Criminal_Breach_Of_Trust,511
Karnataka,K.G.F.,Sexual Crime,Other_Rape,340
Karnataka,K.G.F.,Sexual Crime,Insult_To_Modesty_Of_Women,316
Karnataka,K.G.F.,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,294
Karnataka,K.G.F.,Family-Related Crime,Dowry_Deaths,293
Karnataka,K.G.F.,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,135
Karnataka,K.G.F.,Trust/Deception Crime,Counterfieting,41
Karnataka,K.G.F.,Property Crime,Preparation_And_Assembly_For_Dacoity,26
Karnataka,K.G.F.,Violent Crime,Murder,17
Karnataka,K.G.F.,Kidnapping/Abduction,Kidnapping_And_Abduction,16
Karnataka,K.G.F.,Sexual Crime,Rape,7
Karnataka,K.G.F.,Sexual Crime,Custodial_Rape,0
Karnataka,K.G.F.,Other,Importation_Of_Girls_From_Foreign_Countries,0
Goa,SOUTH GOA,Violent Crime,Hurt/Grevious_Hurt,5619
Goa,SOUTH GOA,Property Crime,Theft,4742
